num,dep,arr
C7865,KVQ,RXQ
C7866,RXQ,KVQ
C7867,RXQ,KVQ
C7868,KVQ,RXQ
C7869,KVQ,RXQ
C7870,RXQ,KVQ
C7871,RXQ,KVQ
C7872,KVQ,RXQ
C7873,KVQ,RXQ
C7874,RXQ,KVQ
C7875,RXQ,KVQ
C7876,KVQ,RXQ
C7877,KVQ,RXQ
C7878,RXQ,KVQ
C7879,RXQ,KVQ
C7880,KVQ,RXQ
C7881,KVQ,RXQ
C7882,RXQ,KVQ
C7883,RXQ,KVQ
C7884,KVQ,RXQ
C7885,KVQ,RXQ
C7886,RXQ,KVQ
C7887,RXQ,KVQ
C7888,KVQ,RXQ
C7889,KVQ,RXQ
C7890,RXQ,KVQ
C7891,RXQ,KVQ
C7892,KVQ,RXQ
C7893,KVQ,RXQ
C7894,RXQ,KVQ
C7898,RXQ,CSQ
C7900,RXQ,CSQ
C7901,RRQ,NKQ
C7902,NKQ,RRQ
C7903,RRQ,NKQ
C7904,NKQ,RRQ
C7905,RRQ,NKQ
C7906,NKQ,RRQ
C7907,RRQ,NKQ
C7908,NKQ,RRQ
C7909,RRQ,NKQ
C7910,NKQ,RRQ
C7911,RRQ,NKQ
C7912,NKQ,RRQ
C7913,RRQ,NKQ
C7914,NKQ,RRQ
C7915,RRQ,NKQ
C7916,NKQ,RRQ
C7917,RRQ,NKQ
C7918,NKQ,RRQ
C7919,RRQ,NKQ
C7920,NKQ,RRQ
C7921,RRQ,NKQ
C7922,NKQ,RRQ
C7923,RRQ,NKQ
C7924,NKQ,RRQ
C7925,RRQ,NKQ
C7926,NKQ,RRQ
C7927,RRQ,NKQ
C7928,NKQ,RRQ
C7929,RRQ,NKQ
C7930,NKQ,RRQ
C7931,RRQ,NKQ
C7932,NKQ,RRQ
C7933,RRQ,NKQ
C7934,NKQ,RRQ
C7935,RRQ,NKQ
C7936,NKQ,RRQ
C7937,RRQ,NKQ
C7938,NKQ,RRQ
C7939,RRQ,NKQ
C7940,NKQ,RRQ
C7941,RRQ,NKQ
C7942,NKQ,RRQ
C7943,RRQ,NKQ
C7944,NKQ,RRQ
C7945,RRQ,NKQ
C7946,NKQ,RRQ
C7947,RRQ,NKQ
C7948,NKQ,RRQ
C7949,RRQ,NKQ
C7950,NKQ,RRQ
C7951,RRQ,NKQ
C7952,NKQ,RRQ
C7953,RRQ,NKQ
C7954,NKQ,RRQ
C7955,RRQ,NKQ
C7956,NKQ,RRQ
C7957,RRQ,NKQ
C7958,NKQ,RRQ
C7959,RRQ,NKQ
C7960,NKQ,RRQ
C7961,RRQ,NKQ
C7962,NKQ,RRQ
